Nível,Tópico,SubTópico,Conteúdo,Horas_Estimadas,Dificuldade
Básico,Gramática,Classes,"Classes de palavras",4,2
Básico,Gramática,Concordância,"Concordância nominal e verbal",5,3
Básico,Literatura,Gêneros,"Gêneros literários simples",4,2
Básico,Literatura,Textos,"Contos e crônicas",4,2
Básico,Produção Textual,Narrativa,"Narrativa e descrição",5,3
Básico,Produção Textual,Estrutura,"Estrutura do parágrafo",4,2
Básico,Análise Linguística,Tipos,"Tipos de texto (informativo, narrativo)",4,2
Básico,Análise Linguística,Pontuação,"Pontuação e acentuação",3,2
Intermediário,Gramática,Figuras,"Figuras de linguagem",6,4
Intermediário,Gramática,Orações,"Orações coordenadas e subordinadas",7,4
Intermediário,Literatura,Escolas,"Escolas literárias (Romantismo, Realismo)",8,4
Intermediário,Literatura,Obras,"Obras clássicas brasileiras",7,4
Intermediário,Produção Textual,Dissertação,"Dissertação argumentativa",8,5
Intermediário,Produção Textual,Coesão,"Coesão e coerência",6,4
Intermediário,Análise Linguística,Funções,"Funções da linguagem",5,3
Intermediário,Análise Linguística,Variação,"Variação linguística",5,3
Avançado,Gramática,Regência,"Crase e regência avançada",10,5
Avançado,Gramática,Período,"Período composto complexo",10,5
Avançado,Literatura,Modernismo,"Modernismo e contemporaneidade",9,5
Avançado,Literatura,Crítica,"Análise crítica de textos",9,5
Avançado,Produção Textual,Resenha,"Artigo de opinião e resenha crítica",10,5
Avançado,Produção Textual,Argumentação,"Argumentação filosófica/científica",10,5
Avançado,Análise Linguística,Intertextualidade,"Intertextualidade",8,5
Avançado,Análise Linguística,Semiótica,"Semiótica",8,5
